source,row,col,filename,size,labeled
PPL_LATAM1.png,4,3,ve_female_traditional_2.webp,792,True
PPL_LATAM1.png,4,4,bo_male_traditional_2.webp,792,True
PPL_LATAM2.png,0,0,br_male_soccer_2.webp,792,True
PPL_LATAM2.png,0,1,br_female_traditional.webp,792,True
PPL_LATAM2.png,0,2,br_male_indigenous.webp,792,True
PPL_LATAM2.png,0,3,mx_male_charro.webp,792,True
PPL_LATAM2.png,0,4,mx_female_traditional_2.webp,792,True
PPL_LATAM2.png,1,0,ar_male_gaucho_3.webp,792,True
PPL_LATAM2.png,1,1,ar_female_tango.webp,792,True
PPL_LATAM2.png,1,2,co_male_sombrero.webp,792,True
PPL_LATAM2.png,1,3,co_female_traditional_2.webp,792,True
PPL_LATAM2.png,1,4,co_male_andean.webp,792,True
PPL_LATAM2.png,2,0,pe_female_andean_2.webp,792,True
PPL_LATAM2.png,2,1,pe_male_andean_2.webp,792,True
PPL_LATAM2.png,2,2,cl_male_huaso_2.webp,792,True
PPL_LATAM2.png,2,3,cl_female_mapuche.webp,792,True
PPL_LATAM2.png,2,4,ec_female_otavalo.webp,792,True
PPL_LATAM2.png,3,0,gt_female_traditional.webp,792,True
PPL_LATAM2.png,3,1,gt_male_traditional.webp,792,True
PPL_LATAM2.png,3,2,ve_male_llanero.webp,792,True
PPL_LATAM2.png,3,3,ve_female_traditional_3.webp,792,True
PPL_LATAM2.png,3,4,bo_female_cholita.webp,792,True
PPL_LATAM2.png,4,0,cu_male_guajiro.webp,792,True
PPL_LATAM2.png,4,1,cu_female_afro.webp,792,True
PPL_LATAM2.png,4,2,do_female_afro.webp,792,True
PPL_LATAM2.png,4,3,do_male_casual.webp,792,True
PPL_LATAM2.png,4,4,pr_female_traditional.webp,792,True
PPL_O1.png,0,0,au_male_aboriginal.webp,792,True
PPL_O1.png,0,1,au_female_surfer.webp,792,True
PPL_O1.png,0,2,nz_male_maori.webp,792,True
PPL_O1.png,0,3,tr_male_fez.webp,792,True
PPL_O1.png,0,4,er_female_hijab.webp,792,True
PPL_O1.png,1,0,iq_male_traditional.webp,792,True
PPL_O1.png,1,1,iq_female_hijab.webp,792,True
PPL_O1.png,1,2,ye_female_niqab.webp,792,True
PPL_O1.png,1,3,af_male_traditional.webp,792,True
PPL_O1.png,1,4,af_female_burqa.webp,792,True
PPL_O1.png,2,0,np_male_gurkha.webp,792,True
PPL_O1.png,2,1,lk_female_sari.webp,792,True
PPL_O1.png,2,2,lk_male_traditional.webp,792,True
PPL_O1.png,2,3,mm_male_longyi.webp,792,True
PPL_O1.png,2,4,mm_female_thanaka.webp,792,True
PPL_O1.png,3,0,kh_male_monk.webp,792,True
PPL_O1.png,3,1,la_female_traditional.webp,792,True
PPL_O1.png,3,2,kp_male_soldier.webp,792,True
PPL_O1.png,3,3,mn_male_deel.webp,792,True
PPL_O1.png,3,4,mn_female_traditional.webp,792,True
PPL_O1.png,4,0,ao_female_traditional.webp,792,True
PPL_O1.png,4,1,mz_female_traditional.webp,792,True
PPL_O1.png,4,2,sd_female_traditional.webp,792,True
PPL_O1.png,4,3,sd_male_traditional.webp,792,True
PPL_O1.png,4,4,ly_female_hijab.webp,792,True
PPL_O2.png,0,0,au_male_outback.webp,792,True
PPL_O2.png,0,1,nz_female_wetsuit.webp,792,True
PPL_O2.png,0,2,nz_male_maori_2.webp,792,True
PPL_O2.png,0,3,tr_male_suit.webp,792,True
PPL_O2.png,0,4,iq_female_hijab_2.webp,792,True
PPL_O2.png,1,0,ye_male_traditional.webp,792,True
PPL_O2.png,1,1,ye_female_niqab_2.webp,792,True
PPL_O2.png,1,2,af_male_traditional_2.webp,792,True
PPL_O2.png,1,3,np_male_topi.webp,792,True
PPL_O2.png,1,4,lk_female_sari_2.webp,792,True
PPL_O2.png,2,0,mm_male_traditional.webp,792,True
PPL_O2.png,2,1,mm_female_thanaka_2.webp,792,True
PPL_O2.png,2,2,kh_male_traditional.webp,792,True
PPL_O2.png,2,3,la_female_traditional_2.webp,792,True
PPL_O2.png,2,4,kp_male_military.webp,792,True
PPL_O2.png,3,0,mn_male_deel_2.webp,792,True
PPL_O2.png,3,1,mn_female_deel.webp,792,True
PPL_O2.png,3,2,ao_male_professional.webp,792,True
PPL_O2.png,3,3,mz_female_traditional_2.webp,792,True
PPL_O2.png,3,4,mz_female_casual.webp,792,True
PPL_O2.png,4,0,mn_male_casual.webp,792,True
PPL_O2.png,4,1,ao_female_professional.webp,792,True
